               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.039309,            0.017563,                   0,             0.84373,             0.78769,             0.82435,             0.34665,            0.038652,            0.012226,                   0,           0.0079112,           0.0079112,           0.0079112
                  50,             0.03904,            0.017428,                   0,             0.80879,             0.80902,             0.81787,              0.3286,            0.039116,            0.012183,                   0,           0.0078311,           0.0078311,           0.0078311
                  51,            0.039576,            0.016772,                   0,                 0.8,             0.79574,              0.7863,             0.33177,            0.039412,            0.012583,                   0,             0.00775,             0.00775,             0.00775
                  52,            0.038758,            0.018789,                   0,             0.82398,             0.81963,             0.81506,             0.34396,            0.038289,            0.012292,                   0,           0.0076679,           0.0076679,           0.0076679
                  53,            0.038052,            0.017724,                   0,             0.77624,             0.81167,             0.81064,             0.35592,            0.039032,            0.012959,                   0,           0.0075848,           0.0075848,           0.0075848
                  54,            0.038035,            0.016754,                   0,             0.82533,             0.77719,             0.80538,              0.3272,            0.039139,            0.012787,                   0,           0.0075009,           0.0075009,           0.0075009
                  55,            0.037444,            0.016951,                   0,             0.83704,             0.79045,             0.81686,             0.33329,            0.038904,            0.012352,                   0,            0.007416,            0.007416,            0.007416
                  56,            0.037958,            0.016512,                   0,             0.84356,             0.80094,             0.82623,             0.34299,             0.03899,            0.012344,                   0,           0.0073303,           0.0073303,           0.0073303
                  57,            0.037561,             0.01592,                   0,             0.83376,             0.82493,              0.8315,             0.35714,            0.038482,            0.012495,                   0,           0.0072438,           0.0072438,           0.0072438
                  58,            0.037348,            0.017186,                   0,             0.78967,             0.81698,             0.78569,             0.32428,            0.038735,            0.013059,                   0,           0.0071566,           0.0071566,           0.0071566
                  59,            0.037342,             0.01586,                   0,             0.81936,              0.8302,             0.84647,             0.35833,            0.038274,            0.012486,                   0,           0.0070686,           0.0070686,           0.0070686
                  60,            0.036408,            0.016024,                   0,             0.79319,             0.80368,             0.80369,             0.33749,            0.038878,            0.012443,                   0,           0.0069799,           0.0069799,           0.0069799
                  61,            0.036342,            0.016389,                   0,             0.76608,             0.81698,             0.78845,             0.34043,            0.039102,            0.012563,                   0,           0.0068906,           0.0068906,           0.0068906
                  62,            0.035782,            0.016877,                   0,             0.78571,             0.81697,               0.827,             0.33238,            0.039144,            0.012525,                   0,           0.0068006,           0.0068006,           0.0068006
                  63,            0.036896,            0.016854,                   0,             0.80697,              0.7321,             0.77932,             0.31948,            0.040795,            0.012856,                   0,           0.0067101,           0.0067101,           0.0067101
                  64,            0.036415,            0.015965,                   0,             0.80162,             0.78247,              0.7705,             0.31796,            0.039915,            0.012803,                   0,           0.0066191,           0.0066191,           0.0066191
                  65,            0.036357,             0.01565,                   0,             0.79373,             0.80633,             0.78557,             0.32751,            0.039248,            0.012941,                   0,           0.0065276,           0.0065276,           0.0065276
                  66,            0.035073,            0.016567,                   0,             0.81793,             0.79841,              0.7992,             0.34248,            0.038841,            0.012846,                   0,           0.0064356,           0.0064356,           0.0064356
                  67,            0.035037,            0.016413,                   0,             0.79889,             0.80106,             0.79751,             0.33605,            0.039188,            0.012576,                   0,           0.0063432,           0.0063432,           0.0063432
                  68,            0.034732,            0.016517,                   0,              0.8138,             0.80106,             0.80717,             0.33525,            0.038428,             0.01276,                   0,           0.0062505,           0.0062505,           0.0062505
                  69,            0.034659,             0.01607,                   0,               0.802,             0.80637,             0.78895,             0.32384,            0.039627,            0.012861,                   0,           0.0061574,           0.0061574,           0.0061574
                  70,            0.034765,            0.014964,                   0,             0.83226,             0.76393,             0.77473,             0.33114,            0.039371,            0.013563,                   0,            0.006064,            0.006064,            0.006064
                  71,            0.035147,            0.015979,                   0,             0.85453,             0.74794,             0.78583,             0.32397,            0.038637,            0.013307,                   0,           0.0059704,           0.0059704,           0.0059704
                  72,            0.034173,             0.01555,                   0,             0.81798,              0.7878,             0.79532,              0.3283,            0.039075,             0.01322,                   0,           0.0058766,           0.0058766,           0.0058766
                  73,            0.035163,            0.015172,                   0,             0.78571,             0.78777,              0.7668,             0.32704,            0.038601,            0.013056,                   0,           0.0057826,           0.0057826,           0.0057826
                  74,            0.034416,            0.015237,                   0,              0.8026,             0.79841,             0.77537,              0.3255,            0.039036,            0.012994,                   0,           0.0056884,           0.0056884,           0.0056884
                  75,            0.033661,            0.014628,                   0,             0.81215,             0.81423,             0.78714,             0.32796,            0.038468,             0.01278,                   0,           0.0055942,           0.0055942,           0.0055942
                  76,             0.03369,            0.014706,                   0,             0.80825,             0.80637,             0.79543,             0.33012,            0.039052,            0.012526,                   0,              0.0055,              0.0055,              0.0055
                  77,            0.033457,            0.014913,                   0,             0.82201,             0.80902,             0.80351,             0.34339,            0.038869,            0.012695,                   0,           0.0054058,           0.0054058,           0.0054058
                  78,            0.032708,            0.014854,                   0,             0.79015,             0.80898,              0.7856,             0.32009,              0.0391,             0.01288,                   0,           0.0053116,           0.0053116,           0.0053116
                  79,            0.032974,            0.015147,                   0,             0.81814,             0.82493,             0.81137,             0.34434,            0.038814,            0.012645,                   0,           0.0052174,           0.0052174,           0.0052174
                  80,            0.032137,            0.014567,                   0,             0.84877,             0.80902,              0.8158,             0.31631,            0.039945,            0.012947,                   0,           0.0051234,           0.0051234,           0.0051234
                  81,            0.032856,            0.015044,                   0,             0.79839,             0.81963,             0.78929,             0.33041,            0.039392,             0.01315,                   0,           0.0050296,           0.0050296,           0.0050296
                  82,            0.032346,            0.014243,                   0,             0.78256,             0.81144,             0.80388,             0.33621,            0.039683,            0.013053,                   0,            0.004936,            0.004936,            0.004936
                  83,            0.032519,            0.014832,                   0,             0.81227,             0.80337,             0.79807,             0.33573,            0.039371,            0.012821,                   0,           0.0048426,           0.0048426,           0.0048426
                  84,            0.032138,            0.014307,                   0,             0.82548,             0.80371,             0.79173,             0.32498,            0.039043,            0.013115,                   0,           0.0047495,           0.0047495,           0.0047495
                  85,            0.031255,             0.01571,                   0,             0.78679,              0.7931,             0.77536,             0.32866,            0.040002,            0.013317,                   0,           0.0046568,           0.0046568,           0.0046568
                  86,            0.032496,            0.013804,                   0,              0.7981,             0.82228,             0.79969,             0.33757,             0.03944,            0.013032,                   0,           0.0045644,           0.0045644,           0.0045644
                  87,            0.031271,            0.013986,                   0,             0.83108,              0.8222,             0.81878,             0.34574,            0.038752,            0.013535,                   0,           0.0044724,           0.0044724,           0.0044724
                  88,            0.031324,            0.013994,                   0,             0.83707,              0.7904,             0.80229,             0.34325,            0.038774,            0.014064,                   0,           0.0043809,           0.0043809,           0.0043809
                  89,            0.031215,            0.014462,                   0,              0.8182,             0.79045,             0.78725,             0.33395,            0.039274,             0.01335,                   0,           0.0042899,           0.0042899,           0.0042899
                  90,            0.031212,            0.015158,                   0,             0.81517,             0.79576,             0.78337,             0.33873,            0.039305,            0.012961,                   0,           0.0041994,           0.0041994,           0.0041994
                  91,            0.029983,            0.012994,                   0,             0.83754,             0.77984,             0.78261,             0.33183,            0.039672,            0.013555,                   0,           0.0041094,           0.0041094,           0.0041094
                  92,            0.030083,            0.013551,                   0,             0.84944,             0.83806,             0.81921,             0.33927,            0.039615,            0.013438,                   0,           0.0040201,           0.0040201,           0.0040201
                  93,            0.029682,            0.014339,                   0,             0.81381,             0.81156,             0.79069,             0.33572,            0.039457,            0.013889,                   0,           0.0039314,           0.0039314,           0.0039314
                  94,            0.029725,            0.013814,                   0,             0.84317,             0.82759,             0.82078,             0.35117,            0.038992,            0.013356,                   0,           0.0038434,           0.0038434,           0.0038434
                  95,            0.029908,             0.01292,                   0,             0.81867,             0.79045,             0.77493,             0.33569,            0.039927,             0.01396,                   0,           0.0037562,           0.0037562,           0.0037562
                  96,            0.029818,            0.012786,                   0,             0.80661,             0.84083,             0.80698,             0.33592,            0.039963,            0.013593,                   0,           0.0036697,           0.0036697,           0.0036697
                  97,            0.029189,            0.013282,                   0,             0.81113,             0.80902,             0.78416,             0.32164,            0.039978,            0.013429,                   0,            0.003584,            0.003584,            0.003584
                  98,            0.028509,            0.013283,                   0,             0.83617,             0.74536,             0.77027,             0.31477,             0.04052,            0.014166,                   0,           0.0034991,           0.0034991,           0.0034991
                  99,            0.028792,            0.014287,                   0,             0.82878,             0.80902,             0.80112,             0.32604,            0.039246,             0.01361,                   0,           0.0034152,           0.0034152,           0.0034152
                 100,            0.028951,            0.013454,                   0,             0.84981,             0.81167,             0.81831,             0.34343,            0.039319,            0.013832,                   0,           0.0033321,           0.0033321,           0.0033321
                 101,            0.029248,            0.013254,                   0,             0.82872,             0.79576,             0.79193,             0.33558,            0.039358,             0.01393,                   0,             0.00325,             0.00325,             0.00325
                 102,            0.028226,            0.013504,                   0,             0.82669,             0.77181,              0.7816,             0.32323,            0.039462,            0.014294,                   0,           0.0031689,           0.0031689,           0.0031689
                 103,            0.028029,            0.012812,                   0,             0.77933,             0.82493,             0.77691,             0.32247,            0.039391,            0.014076,                   0,           0.0030888,           0.0030888,           0.0030888
                 104,            0.028065,            0.013449,                   0,             0.79687,             0.81164,              0.7839,             0.32887,            0.039546,            0.014286,                   0,           0.0030097,           0.0030097,           0.0030097
                 105,            0.028027,            0.012707,                   0,             0.79789,             0.82759,              0.8034,             0.34013,            0.039645,            0.013717,                   0,           0.0029318,           0.0029318,           0.0029318
                 106,            0.027196,            0.013363,                   0,             0.83651,              0.8143,             0.81278,             0.33845,            0.039622,            0.014129,                   0,            0.002855,            0.002855,            0.002855
                 107,            0.027197,             0.01312,                   0,             0.82782,             0.80371,             0.79429,             0.33546,              0.0398,            0.014287,                   0,           0.0027793,           0.0027793,           0.0027793
                 108,            0.027297,            0.012588,                   0,             0.82143,             0.78249,             0.78259,             0.33764,            0.039534,             0.01394,                   0,           0.0027048,           0.0027048,           0.0027048
                 109,            0.027126,            0.012651,                   0,             0.83395,             0.80106,             0.78986,             0.31874,            0.040469,            0.014333,                   0,           0.0026316,           0.0026316,           0.0026316
                 110,            0.026842,            0.012878,                   0,             0.81339,             0.79841,             0.77667,             0.33252,            0.040011,            0.014633,                   0,           0.0025596,           0.0025596,           0.0025596
                 111,            0.026986,            0.013227,                   0,             0.79934,              0.7931,             0.77525,             0.33006,            0.040119,            0.015052,                   0,           0.0024889,           0.0024889,           0.0024889
                 112,            0.026854,            0.012446,                   0,             0.82177,             0.79576,              0.7844,             0.34029,            0.039607,            0.014817,                   0,           0.0024195,           0.0024195,           0.0024195
                 113,              0.0259,            0.012998,                   0,               0.825,             0.78778,             0.78411,             0.32297,            0.040235,            0.014571,                   0,           0.0023515,           0.0023515,           0.0023515
                 114,            0.025607,            0.012221,                   0,             0.81837,             0.80072,             0.77826,              0.3423,            0.039915,            0.014924,                   0,           0.0022849,           0.0022849,           0.0022849
                 115,            0.026337,            0.011975,                   0,             0.81914,             0.81691,             0.79848,             0.33829,            0.039889,            0.014834,                   0,           0.0022196,           0.0022196,           0.0022196
                 116,            0.026104,            0.012771,                   0,             0.82631,             0.79576,             0.78836,             0.33078,             0.03978,            0.014925,                   0,           0.0021558,           0.0021558,           0.0021558
                 117,            0.025546,            0.012415,                   0,             0.83033,              0.7931,             0.77751,             0.32907,            0.039756,             0.01476,                   0,           0.0020935,           0.0020935,           0.0020935
                 118,            0.025229,            0.012046,                   0,             0.83749,             0.79283,             0.78319,             0.33264,             0.03938,            0.014934,                   0,           0.0020327,           0.0020327,           0.0020327
                 119,            0.025123,            0.012626,                   0,             0.81476,              0.8167,             0.79024,             0.34013,            0.039783,            0.014778,                   0,           0.0019734,           0.0019734,           0.0019734
                 120,             0.02546,            0.012148,                   0,             0.81292,             0.83024,             0.80249,             0.33422,             0.03994,            0.014808,                   0,           0.0019156,           0.0019156,           0.0019156
                 121,            0.025077,            0.011989,                   0,             0.82444,             0.78515,             0.79372,             0.33852,             0.03986,            0.015257,                   0,           0.0018594,           0.0018594,           0.0018594
                 122,            0.025072,            0.012176,                   0,             0.82484,             0.77454,             0.79071,             0.34536,            0.039461,            0.015458,                   0,           0.0018048,           0.0018048,           0.0018048
                 123,            0.024792,             0.01184,                   0,             0.82344,             0.77984,             0.78747,             0.33374,            0.039594,            0.015234,                   0,           0.0017519,           0.0017519,           0.0017519
                 124,            0.024775,            0.011608,                   0,             0.82258,             0.81167,             0.78647,             0.33804,            0.039433,            0.014736,                   0,           0.0017005,           0.0017005,           0.0017005
                 125,            0.025397,            0.011815,                   0,             0.82966,             0.80106,             0.78959,             0.33688,            0.039411,            0.015011,                   0,           0.0016509,           0.0016509,           0.0016509
                 126,            0.024778,             0.01249,                   0,             0.81353,              0.7878,             0.77535,             0.33963,            0.039745,            0.015177,                   0,           0.0016029,           0.0016029,           0.0016029
                 127,            0.023968,            0.011243,                   0,             0.81887,             0.77984,             0.78425,              0.3406,            0.039618,            0.015035,                   0,           0.0015566,           0.0015566,           0.0015566
