               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.03721,            0.017218,                   0,             0.79947,             0.83543,             0.82005,             0.33337,            0.038957,             0.01223,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.037595,            0.016414,                   0,             0.79649,             0.82228,             0.80163,             0.34272,             0.03841,            0.012406,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.037312,            0.018361,                   0,             0.79346,             0.79576,              0.8031,             0.34267,            0.038867,            0.012353,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.036787,            0.017369,                   0,             0.81445,             0.80371,             0.81273,              0.3397,            0.038781,            0.012847,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.036624,              0.0164,                   0,             0.83067,             0.83278,             0.84445,             0.35877,            0.038177,            0.012259,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.035928,            0.016551,                   0,             0.82104,             0.80371,             0.83172,             0.34739,            0.039055,            0.012273,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.036294,            0.016024,                   0,              0.8082,             0.77123,             0.77999,             0.34138,            0.040231,            0.012884,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.035763,            0.015586,                   0,             0.81361,             0.82228,             0.82749,             0.34368,             0.03884,            0.012128,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,              0.0356,            0.016695,                   0,             0.83601,             0.82488,             0.84666,             0.34684,            0.038923,            0.012237,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.035308,            0.015501,                   0,             0.83629,              0.7878,             0.82625,             0.35231,            0.038119,            0.012489,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.034949,            0.015609,                   0,             0.80548,             0.84572,             0.84187,             0.34859,             0.03863,            0.012309,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.034689,            0.015811,                   0,             0.74998,             0.71609,             0.69339,             0.27157,            0.044158,             0.01317,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.033989,            0.016293,                   0,             0.78343,             0.83554,             0.82393,             0.34461,            0.038985,            0.012331,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.034543,            0.016228,                   0,             0.85992,             0.79841,             0.85318,             0.35733,             0.03839,            0.012281,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.034394,            0.015441,                   0,             0.84251,             0.80882,             0.83752,              0.3363,            0.039532,            0.012665,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.033939,            0.015126,                   0,             0.85302,             0.78515,             0.82368,             0.34382,            0.038761,            0.012488,                   0,            0.003584,            0.003584,            0.003584
                  66,             0.03298,            0.016073,                   0,             0.83606,             0.78515,               0.804,              0.3444,            0.038618,            0.012545,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.032996,            0.015662,                   0,             0.78619,             0.84853,             0.80784,             0.33784,            0.039239,            0.012651,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.032344,             0.01583,                   0,             0.81542,             0.82228,             0.82706,             0.34984,            0.038822,            0.012552,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.032515,            0.015465,                   0,             0.79298,             0.78236,             0.79736,             0.33425,            0.039635,            0.013256,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.032512,            0.014219,                   0,             0.82482,              0.7743,             0.79248,             0.33151,            0.039327,            0.013376,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.032487,            0.015259,                   0,             0.80049,             0.77692,             0.79309,              0.3354,            0.039812,            0.013565,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.031947,             0.01483,                   0,             0.79923,             0.78249,             0.78351,             0.33271,            0.039555,            0.013464,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.032416,            0.014324,                   0,             0.80201,             0.83809,             0.82831,             0.34023,            0.039501,            0.012707,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.031414,            0.014374,                   0,             0.80644,             0.79572,              0.8093,             0.33051,            0.039734,            0.013341,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,             0.03109,            0.013807,                   0,              0.8059,             0.79296,             0.80182,             0.32935,            0.039425,            0.013058,                   0,           0.0024195,           0.0024195,           0.0024195
